#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
139000	278.0000000005993	-1638649.283264907	322418.65236720326	-1316230.6308977038	300.6866252851978	1272.4626721338152	1.007164034922875	10.7
139500	279.0000000006041	-1639852.0920757065	323198.84053625877	-1316653.2515394478	301.4142263278743	1271.833175149701	1.0076625332596696	10.7
140000	280.00000000060885	-1639139.4079144904	322961.9755810576	-1316177.4323334328	301.1933268125862	1269.28175704139	1.0096880633834289	10.8
140500	281.0000000006136	-1639407.5636178227	322689.3015386417	-1316718.2620791811	300.9390318547264	1269.2966680745394	1.0096762020963377	10.8
141000	282.0000000006184	-1640052.1788535388	322568.17336487636	-1317484.0054886625	300.82606809928285	1267.5788525427108	1.0110445094474738	10.8
141500	283.0000000006232	-1638853.1557420073	321895.2204699586	-1316957.9352720487	300.198474337374	1270.1028831524325	1.0090352963959275	10.8
142000	284.00000000062795	-1639129.1694336692	323728.6744909317	-1315400.4949427375	301.90834781440253	1269.8118795947494	1.0092665376260637	10.8
142500	285.0000000006327	-1637946.0604627728	321910.2834056958	-1316035.777057077	300.21252198406086	1269.9449847045316	1.0091607546709684	10.8
143000	286.0000000006375	-1639888.3531075176	322768.2948332558	-1317120.0582742617	301.0127007538527	1273.3380306006623	1.0064716582371198	10.8
143500	287.0000000006423	-1639326.681918744	323576.8315624878	-1315749.8503562561	301.76673957495365	1271.1565115637281	1.0081989334094572	10.8
144000	288.00000000064705	-1640222.5297266329	323194.36761207425	-1317028.1621145587	301.41005489279036	1271.2113583918895	1.0081554343380492	10.8
144500	289.0000000006518	-1639372.570646122	321920.834135349	-1317451.7365107732	300.22236156148733	1271.889263305287	1.0076180970539603	10.9
145000	290.0000000006566	-1635983.1258285167	322045.886945129	-1313937.2388833878	300.33898542018505	1273.1931698842268	1.0065861720508387	10.9
145500	291.0000000006614	-1637744.1037554583	321209.17860667355	-1316534.9251487846	299.55867384456434	1272.149447164553	1.0074120159478903	10.9
146000	292.00000000066615	-1638187.7769569363	321842.6687195763	-1316345.1082373601	300.14946473957536	1274.0840732442996	1.005882316613262	10.9
146500	293.0000000006709	-1637238.0043480005	322168.56756051537	-1315069.4367874851	300.4533969778217	1273.125353992151	1.0066397901325101	10.9
147000	294.0000000006757	-1638383.5359502435	321162.1326153115	-1317221.403334932	299.51479890038235	1271.599653566623	1.0078475843874481	10.9
